date,val
20200102,61.17
20200103,63
20200106,63.27
20200107,62.7
20200108,59.65
20200109,59.56
20200110,59.02
20200113,58.17
20200114,58.34
20200115,57.86
20200116,58.52
20200117,58.55
20200121,58.25
20200122,56.76
20200123,55.51
20200124,54.09
20200127,53.09
20200128,53.33
20200129,53.29
20200130,52.19
20200131,51.58
20200203,50.06
20200204,49.59
20200205,50.87
20200206,50.94
20200207,50.34
20200210,49.59
20200211,50
20200212,51.13
20200213,51.41
20200214,52.03
20200218,52.1
20200219,53.31
20200220,53.77
20200221,53.36
20200224,51.36
20200225,49.78
20200226,48.67
20200227,47.17
20200228,44.83
20200302,46.78
20200303,47.27
20200304,46.78
20200305,45.9
20200306,41.14
20200309,31.05
20200310,34.47
20200311,33.13
20200312,31.56
20200313,31.72
20200316,28.96
20200317,26.96
20200318,20.48
20200319,25.09
20200320,19.48
20200323,23.33
20200324,21.03
20200325,20.75
20200326,16.6
20200327,15.48
20200330,14.1
20200331,20.51
20200401,20.28
20200402,25.18
20200403,28.36
20200406,26.21
20200407,23.54
20200408,24.97
20200409,22.9
20200413,22.36
20200414,20.15
20200415,19.96
20200416,19.82
20200417,18.31
20200420,-36.98
20200421,8.91
20200422,13.64
20200423,15.06
20200424,15.99
20200427,12.17
20200428,12.4
20200429,15.04
20200430,19.23
20200501,19.72
20200504,20.47
20200505,24.56
20200506,23.88
20200507,23.68
20200508,24.73
20200511,24.02
20200512,25.76
20200513,25.37
20200514,27.4
20200515,29.44
20200518,31.83
20200519,32.3
20200520,33.56
20200521,34.3
20200522,33.49
20200526,34.7
20200527,32.8
20200528,33.67
20200529,35.57
20200601,35.49
20200602,36.88
20200603,37.33
20200604,37.42
20200605,39.49
20200608,38.17
20200609,38.98
20200610,39.54
20200611,36.43
20200612,36.24
20200615,37.07
20200616,38.26
20200617,37.91
20200618,38.79
20200619,39.72
20200622,40.6
20200623,40.4
20200624,37.91
20200625,38.66
20200626,38.53
20200629,39.67
20200630,39.27
20200701,39.88
20200702,40.57
20200706,40.51
20200707,40.59
20200708,40.91
20200709,39.64
20200710,40.56
20200713,40.06
20200714,40.3
20200715,41.2
20200716,40.74
20200717,40.55
20200720,40.83
20200721,41.76
20200722,41.88
20200723,40.99
20200724,41.23
20200727,41.46
20200728,40.89
20200729,41.13
20200730,39.85
20200731,40.1
20200803,40.83
20200804,41.67
20200805,42.25
20200806,41.93
20200807,41.16
20200810,41.94
20200811,41.53
20200812,42.6
20200813,42.26
20200814,42.05
20200817,42.89
20200818,42.89
20200819,42.91
20200820,42.62
20200821,42.32
20200824,42.44
20200825,43.17
20200826,43.21
20200827,42.88
20200828,42.96
20200831,42.61
20200901,42.76
20200902,42.76
20200903,41.39
20200904,39.69
20200908,36.87
20200909,38.05
20200910,37.25
20200911,37.33
20200914,37.23
20200915,38.29
20200916,40.17
20200917,40.99
20200918,41.09
20200921,39.26
20200922,39.55
20200923,39.92
20200924,40.11
20200925,40.06
20200928,40.47
20200929,39.03
20200930,40.05
20201001,38.51
20201002,36.9
20201005,39.12
20201006,40.52
20201007,39.82
20201008,41.04
20201009,40.44
20201012,39.22
20201013,40.03
20201014,40.86
20201015,40.84
20201016,40.7
20201019,40.69
20201020,41.37
20201021,39.88
20201022,40.46
20201023,39.73
20201026,38.39
20201027,39.34
20201028,37.27
20201029,35.94
20201030,35.64
20201102,36.6
20201103,37.44
20201104,38.97
20201105,38.56
20201106,36.97
20201109,40.05
20201110,41.18
20201111,41.23
20201112,40.9
20201113,39.93
20201116,41.14
20201117,41.24
20201118,41.64
20201119,41.57
20201120,41.99
20201123,42.91
20201124,44.71
20201125,45.58
20201130,45.2
20201201,44.54
20201202,45.23
20201203,45.65
20201204,46.23
20201207,45.72
20201208,45.64
20201209,45.48
20201210,46.76
20201211,46.59
20201214,47.02
20201215,47.58
20201216,47.86
20201217,48.34
20201218,49.04
20201221,47.79
20201222,47.02
20201223,47.94
20201224,48.18
20201228,47.5
20201229,47.85
20201230,48.24
20201231,48.35
20210104,47.47
20210105,49.78
20210106,50.45
20210107,50.63
20210108,52.14
20210111,52.15
20210112,53.08
20210113,52.81
20210114,53.47
20210115,52.25
20210119,52.87
20210120,53.16
20210121,53
20210122,52.28
20210125,52.78
20210126,52.61
20210127,52.81
20210128,52.26
20210129,52.16
20210201,53.55
20210202,54.77
20210203,55.67
20210204,56.19
20210205,56.8
20210208,57.95
20210209,58.34
20210210,58.69
20210211,58.22
20210212,59.5
20210216,60.07
20210217,61.09
20210218,60.4
20210219,59.12
20210222,61.67
20210223,61.66
20210224,63.21
20210225,63.43
20210226,61.55
20210301,60.54
20210302,59.7
20210303,61.33
20210304,63.81
20210305,66.08
20210308,65.03
20210309,64.02
20210310,64.45
20210311,66.02
20210312,65.59
20210315,65.36
20210316,64.82
20210317,64.55
20210318,59.95
20210319,61.43
20210322,61.48
20210323,57.75
20210324,61.12
20210325,58.47
20210326,60.93
20210329,61.49
20210330,60.55
20210331,59.19
20210401,61.41
20210405,58.73
20210406,59.34
20210407,59.77
20210408,59.61
20210409,59.29
20210412,59.7
20210413,60.2
20210414,63.15
20210415,63.42
20210416,63.16
20210419,63.33
20210420,62.61
20210421,61.34
20210422,61.45
20210423,62.18
20210426,62.02
20210427,63.03
20210428,63.81
20210429,65
20210430,63.5
20210503,64.46
20210504,65.72
20210505,65.63
20210506,64.73
20210507,64.96
20210510,64.92
20210511,65.31
20210512,65.96
20210513,63.82
20210514,65.32
20210517,66.24
20210518,65.49
20210519,63.28
20210520,61.95
20210521,63.61
20210524,66.13
20210525,66.27
20210526,66.41
20210527,66.87
20210528,66.31
20210601,67.8
20210602,68.79
20210603,68.81
20210604,69.57
20210607,69.21
20210608,70.11
20210609,69.9
20210610,70.34
20210611,71
20210614,70.94
20210615,72.06
20210616,72.03
20210617,71.06
20210618,71.64
20210621,73.64
20210622,73.15
20210623,73.11
20210624,73.31
20210625,74.21
20210628,72.98
20210629,73.14
20210630,73.52
20210701,75.33
20210702,75.37
20210706,73.62
20210707,72.22
20210708,72.98
20210709,74.56
20210712,74.21
20210713,75.24
20210714,73.06
20210715,71.67
20210716,71.76
20210719,66.45
20210720,67.32
20210721,70.26
20210722,72.15
20210723,72.24
20210726,72.15
20210727,71.68
20210728,72.37
20210729,73.62
20210730,73.93
20210802,71.31
20210803,70.64
20210804,68.19
20210805,69.1
20210806,68.26
20210809,66.56
20210810,68.33
20210811,69.3
20210812,69.12
20210813,68.36
20210816,67.44
20210817,66.5
20210818,65.36
20210819,63.69
20210820,62.25
20210823,65.65
20210824,67.5
20210825,68.54
20210826,67.42
20210827,68.84
20210830,69.28
20210831,68.43
20210901,68.63
20210902,70.07
20210903,69.34
20210907,68.49
20210908,69.36
20210909,68.26
20210910,69.82
20210913,70.54
20210914,70.53
20210915,72.59
20210916,72.69
20210917,72.09
20210920,70.41
20210921,70.51
20210922,72.37
20210923,73.43
20210924,74.18
20210927,75.54
20210928,75.44
20210929,75.06
20210930,75.22
20211001,76.01
20211004,77.68
20211005,79.17
20211006,77.66
20211007,78.46
20211008,79.55
20211011,80.64
20211012,80.75
20211013,80.67
20211014,81.43
20211015,82.39
20211018,82.62
20211019,83.19
20211020,84.4
20211021,82.64
20211022,84.53
20211025,84.64
20211026,85.64
20211027,82.66
20211028,82.78
20211029,83.5
20211101,84.08
20211102,83.91
20211103,80.82
20211104,78.88
20211105,81.25
20211108,81.96
20211109,84.12
20211110,81.23
20211111,81.47
20211112,80.87
20211115,80.85
20211116,80.76
20211117,78.32
20211118,78.92
20211119,76.11
20211122,76.74
20211123,78.32
20211124,78.32
20211129,69.88
20211130,66.14
20211201,65.44
20211202,66.6
20211203,66.39
20211206,69.62
20211207,71.94
20211208,72.43
20211209,70.87
20211210,71.71
