date,price
20240808,"70.83"
20240708,"70.81"
20240608,"69.92"
20240508,"68.86"
20240208,"70.44"
20240108,"71.17"
20243107,"69.24"
20243007,"68.58"
20242907,"68.78"
20242607,"67.71"
20242507,"67.08"
20242407,"68.90"
20242307,"65.79"
20242207,"64.79"
20241907,"66.00"
20241807,"66.11"
20241707,"66.42"
20241607,"67.94"
20241507,"67.58"
20241207,"69.35"
20241107,"68.52"
20241007,"67.96"
20240907,"68.52"
20240807,"69.04"
20240507,"70.35"
20240407,"70.18"
20240307,"70.91"
20240207,"70.93"
20240107,"68.33"
20242806,"67.36"
20242706,"66.49"
20242606,"67.23"
20242506,"67.80"
20242406,"67.56"
20242106,"68.05"
20242006,"69.19"
20241906,"70.74"
20241806,"68.38"
20241706,"68.16"
20241406,"68.53"
20241306,"70.87"
20241206,"70.30"
20241106,"70.41"
20241006,"70.91"
20240706,"71.42"
20240606,"71.53"
20240506,"72.00"
20240406,"72.58"
20240306,"74.63"
20243105,"74.07"
20243005,"75.20"
20242905,"73.95"
20242805,"74.60"
20242705,"76.51"
20242405,"75.78"
20242305,"76.10"
20242205,"76.67"
20242105,"76.20"
20242005,"74.24"
20241705,"70.52"
20241605,"70.79"
20241505,"69.19"
20241405,"70.10"
20241305,"70.07"
20241005,"71.59"
20240905,"73.62"
20240805,"71.92"
20240705,"70.85"
20240605,"73.67"
20240305,"71.84"
20240205,"72.69"
20240105,"67.91"
20243004,"69.20"
20242904,"65.80"
20242604,"67.51"
20242504,"68.41"
20242404,"66.85"
20242304,"66.38"
20242204,"66.40"
20241904,"68.52"
20241804,"71.55"
20241704,"70.33"
20241604,"74.25"
20241504,"70.16"
20241204,"71.64"
20241104,"68.83"
20241004,"62.85"
20240904,"63.96"
20240804,"63.39"
20240504,"61.01"
20240404,"58.39"
20240304,"57.55"
20240204,"58.90"
20242803,"61.93"
20242703,"62.61"
20242603,"63.00"
20242503,"64.84"
20242203,"61.50"
20242103,"59.37"
20242003,"60.01"
20241903,"61.31"
20241803,"61.42"
20241503,"59.38"
20241403,"58.80"
20241303,"55.87"
20241203,"57.00"
20241103,"56.13"
20240803,"58.50"
20240703,"59.44"
20240603,"58.79"
20240503,"60.00"
20240403,"57.28"
20240103,"56.31"
20242902,"56.44"
20242802,"57.21"
20242702,"55.96"
20242602,"53.83"
20242302,"52.51"
20242202,"52.59"
20242102,"54.51"
20242002,"54.21"
20241902,"53.14"
20241602,"57.11"
20241502,"57.95"
20241402,"56.44"
20241302,"56.65"
20241202,"57.20"
20240902,"58.80"
20240802,"60.71"
20240702,"62.32"
20240602,"63.49"
20240502,"62.59"
20240202,"63.50"
20240102,"62.32"
20243101,"64.40"
20243001,"64.02"
20242901,"61.77"
20242601,"63.10"
20242501,"63.41"
20242401,"65.80"
20242301,"63.27"
20242201,"62.41"
20241901,"63.42"
20241801,"63.28"
20241701,"63.31"
20241601,"65.49"
20241501,"66.90"
20241201,"63.80"
20241101,"65.96"
20241001,"67.72"
20240901,"69.90"
20240801,"69.96"
20240501,"73.97"
20240401,"73.78"
20240301,"75.42"
20240201,"74.09"
20232912,"77.98"
20232812,"77.94"
20232712,"77.74"
20232212,"76.94"
20232112,"75.88"
20232012,"73.20"
20231912,"69.76"
20231812,"69.61"
20231512,"67.57"
20231412,"66.73"
20231312,"68.88"
20231212,"68.24"
20231112,"67.34"
20230812,"68.62"
20230712,"69.97"
20230612,"68.96"
20230512,"68.91"
20230412,"70.43"
20230112,"72.45"
20233011,"70.56"
20232911,"70.78"
20232811,"72.50"
20232711,"73.07"
20232411,"76.46"
20232311,"76.57"
20232211,"75.10"
20232111,"75.21"
20232011,"76.66"
20231711,"76.23"
20231611,"77.20"
20231511,"79.80"
20231411,"78.57"
20231311,"77.04"
20231011,"78.50"
20230911,"77.30"
20230811,"75.40"
20230711,"75.36"
20230611,"75.88"
20230311,"77.20"
20230211,"79.06"
20230111,"78.66"
20233110,"79.41"
20233010,"78.78"
20232710,"79.36"
20232610,"79.58"
20232510,"79.93"
20232410,"80.66"
20232310,"80.30"
20232010,"81.67"
20231910,"82.00"
20231810,"81.79"
20231710,"82.65"
20231610,"83.41"
20231310,"85.66"
20231210,"85.45"
20231110,"83.78"
20231010,"84.74"
20230910,"81.63"
20230610,"80.62"
20230510,"80.86"
20230410,"81.82"
20230310,"79.80"
20230210,"80.70"
20232909,"81.45"
20232809,"83.11"
20232709,"81.86"
20232609,"82.51"
20232509,"84.89"
20232209,"85.30"
20232109,"84.43"
20232009,"82.76"
20231909,"81.30"
20231809,"80.88"
20231509,"82.10"
20231409,"82.93"
20231309,"83.76"
20231209,"81.12"
20231109,"81.73"
20230809,"81.62"
20230709,"83.29"
20230609,"83.70"
20230509,"83.91"
20230409,"84.08"
20230109,"85.64"
20233108,"86.03"
20233008,"86.00"
20232908,"85.00"
20232808,"85.60"
20232508,"85.25"
20232408,"85.21"
20232308,"88.00"
20232208,"90.01"
20232108,"87.85"
20231808,"88.05"
20231708,"88.85"
20231608,"88.58"
20231508,"86.87"
20231408,"87.95"
20231108,"86.80"
20231008,"84.55"
20230908,"83.90"
20230808,"83.97"
20230708,"82.64"
20230408,"83.41"
20230308,"84.41"
20230208,"83.20"
20230108,"84.62"
20233107,"86.81"
20232807,"88.70"
20232707,"90.92"
20232607,"90.77"
20232507,"92.34"
20232407,"91.29"
20232107,"91.82"
20232007,"90.84"
20231907,"88.98"
20231807,"88.18"
20231707,"86.78"
20231407,"86.35"
20231307,"85.88"
20231207,"85.83"
20231107,"87.05"
20231007,"86.26"
20230707,"86.15"
20230607,"86.29"
20230507,"85.81"
20230407,"87.69"
20230307,"87.58"
20233006,"89.57"
20232906,"88.13"
20232806,"88.21"
20232706,"89.09"
20232606,"86.49"
20232306,"87.55"
20232206,"90.95"
20232106,"90.85"
20232006,"94.51"
20231906,"93.23"
20231606,"91.92"
20231506,"92.93"
20231406,"93.62"
20231306,"90.72"
20231206,"88.22"
20230906,"86.14"
20230806,"83.35"
20230706,"83.86"
20230606,"81.64"
20230506,"82.86"
20230206,"78.52"
20230106,"78.95"
20233105,"80.77"
20233005,"80.38"
20232905,"83.00"
20232605,"83.13"
20232505,"82.63"
20232405,"84.79"
20232305,"85.80"
20232205,"87.25"
20231905,"89.43"
20231805,"89.65"
20231705,"88.04"
20231605,"88.93"
20231505,"87.14"
20231205,"88.93"
20231105,"88.57"
20231005,"89.06"
20230905,"87.51"
20230805,"85.59"
20230505,"84.96"
20230405,"84.50"
20230305,"85.15"
20230205,"88.52"
20230105,"85.63"
20232804,"87.65"
20232704,"86.68"
20232604,"86.24"
20232504,"86.81"
20232404,"88.56"
20232104,"89.86"
20232004,"91.74"
20231904,"94.39"
20231804,"95.15"
20231704,"92.91"
20231404,"94.11"
20231304,"94.39"
20231204,"96.27"
20231104,"97.47"
20230604,"96.75"
20230504,"97.01"
20230404,"94.98"
20230304,"96.00"
20233103,"91.75"
20233003,"90.80"
20232903,"90.02"
20232803,"89.40"
20232703,"88.13"
20232403,"85.40"
20232303,"90.18"
20232203,"86.63"
20232103,"87.38"
20232003,"85.18"
20231703,"85.57"
20231603,"85.27"
20231503,"86.65"
20231403,"89.73"
20231303,"92.99"
20231003,"96.83"
20230903,"95.40"
20230803,"94.76"
20230703,"92.87"
20230603,"89.96"
20230303,"89.27"
20230203,"90.10"
20230103,"93.80"
20232802,"95.88"
20232702,"96.90"
20232402,"94.79"
20232302,"93.84"
20232202,"93.45"
20232102,"97.12"
20232002,"95.11"
20231702,"93.33"
20231602,"95.13"
20231502,"91.51"
20231402,"88.62"
20231302,"89.35"
20231002,"90.44"
20230902,"88.49"
20230802,"87.59"
20230702,"87.90"
20230602,"87.96"
20230302,"90.90"
20230202,"90.65"
20230102,"92.65"
20233101,"90.13"
20233001,"87.21"
20232701,"86.94"
20232601,"86.81"
20232501,"82.28"
20232401,"79.62"
20232301,"81.80"
20232001,"82.60"
20231901,"81.86"
20231801,"81.42"
20231701,"77.21"
20231601,"75.07"
20231301,"77.20"
20231201,"77.76"
20231101,"76.64"
20231001,"78.38"
20230901,"79.10"
20230601,"75.55"
